label,name
mn0000413524,The Police
mn0000094752,LL Cool J
mn0000948022,DJ Jazzy Jeff & the Fresh Prince
mn0000358408,Run-D.M.C.
mn0000238322,De La Soul
mn0000127063,Bell Biv DeVoe
mn0000018258,Teena Marie
mn0000179732,Charlie Shavers
mn0000675395,"Henry ""Red"" Allen"
mn0000766039,Bill Harris
mn0000763554,Bill Doggett
mn0000090803,King Curtis
mn0000060726,Big Joe Turner
mn0000527846,"David ""Fathead"" Newman"
mn0000960674,Wynonie Harris
mn0000343396,Roy Brown
mn0000635760,David Benoit
mn0000619388,Alejandro Sanz
mn0000195874,Madness
mn0000359494,Prince Buster
mn0000078305,Bim Skala Bim
mn0000039350,The Art Bears
mn0000028432,Sneaker Pimps
mn0000597736,Morcheeba
mn0000301619,Portishead
mn0000863790,Rage Against the Machine
mn0000016132,Sevendust
mn0000098465,Iron Maiden
mn0000816701,Deniece Williams
mn0000865016,New Edition
mn0000101855,Chuck Howard
mn0000959490,Dave Dudley
mn0000268640,Brother Vernard Johnson
mn0000423829,Miles Davis
mn0000174822,Serge Gainsbourg
mn0000167296,Caravan
mn0000838559,Pentangle
mn0000920101,The United States of America
mn0000057209,The Free Design
mn0000209088,Joe Meek
mn0000808435,Joel Dorn
mn0000519215,Tommy LiPuma
mn0000782191,Larry Heard
mn0000575379,The Vaselines
mn0000183139,David Sylvian
mn0000196969,John Martyn
mn0000842802,Peter Gabriel
mn0000253142,Scott Walker
mn0000769238,Bill Nelson
mn0000071209,Leonard Cohen
mn0000336783,Nick Drake
mn0000809266,Ultravox
mn0000088122,Holger Czukay
mn0000673517,Marc Bolan
mn0000524050,Bryan Ferry
mn0000595101,Tim Buckley
mn0000197532,Charles Trénet
mn0000857062,Prurient
mn0000082992,Boyd Rice
mn0000884057,Merzbow
mn0000296551,K.K. Null
mn0000803564,Dreamboy
mn0000754251,Suzanne Vega
mn0000762921,The Charioteers
mn0000507836,The Soul Stirrers
mn0000034721,The Swan Silvertones
mn0000127949,Jackie McLean
mn0000928942,Art Blakey
mn0000290775,Sam Rivers
mn0000215296,Rilo Kiley
mn0000926999,Tiger Trap
mn0000136311,Discount
mn0000252021,Lucio Battisti
mn0000589971,Will Oldham
mn0000124492,Beck
mn0000152242,The Dismemberment Plan
mn0000925181,Them
mn0000683446,Kurt Weill
mn0000307461,Van Morrison
mn0000351733,Nine Inch Nails
mn0000239921,Depeche Mode
mn0000118327,Chrome
mn0000661525,Front 242
mn0000584287,Young Gods
mn0000183858,Gary Numan
mn0000420133,Ministry
mn0000750970,Skinny Puppy
mn0000758520,Big Black
mn0000374853,N.E.R.D
mn0000294891,Salt-N-Pepa
mn0000361014,Kanye West
mn0000115253,Common
mn0000308261,Jurassic 5
mn0000478982,A Tribe Called Quest
mn0000415906,The Roots
mn0000628467,Britney Spears
mn0000868092,McCoy Tyner
mn0000000335,PJ Harvey
mn0000378288,Massive Attack
mn0000753056,Something Corporate
mn0000128495,Counting Crows
mn0000850693,Jets to Brazil
mn0000852688,Jimmy Eat World
mn0000154544,Green Day
mn0000796734,Elton John
mn0000164686,Ben Folds Five
mn0000085915,Billy Joel
mn0000120560,Cowboy Copas
mn0000848784,Roy Acuff
mn0000160094,Gene Autry
mn0000254527,Pee Wee King
mn0000005384,Spade Cooley
mn0000678802,Dark Angel
mn0000173902,Lycia
mn0000840215,Peter Murphy
mn0000405732,The Microphones
mn0000065590,The Flaming Lips
mn0000046527,Blonde Redhead
mn0000492331,Pretenders
mn0000673208,Manowar
mn0000829717,Loudness
mn0000925837,Accept
mn0000067406,The Chieftains
mn0000478751,The Tannahill Weavers
mn0000313128,Mary Black
mn0000674847,Wolfe Tones
mn0000792585,Altan
mn0000143494,The Dubliners
mn0000661498,Capercaillie
mn0000069761,The Irish Rovers
mn0000780005,LCD Soundsystem
mn0000145128,Echo & the Bunnymen
mn0000186312,Celia Cruz
mn0000607283,Tito Puente
mn0000591104,Mongo Santamaria
mn0000288111,Los Fabulosos Cadillacs
mn0000487534,Molotov
mn0000866786,New York Dolls
mn0000128141,Cranes
mn0000140499,Cocteau Twins
mn0000266063,Chris Brown
mn0000005307,Alicia Keys
mn0000546214,Gwen Stefani
mn0000113753,Lauryn Hill
mn0000272689,Lil Wayne
mn0000617662,Tommy McClennan
mn0000036031,Sonny Boy Williamson II
mn0001006782,Sonny Boy Williamson I
mn0000490852,Our Lady Peace
mn0000037730,Pearl Jam
mn0000001098,Soundgarden
mn0000270667,Live
mn0000007920,Alice in Chains
mn0000626463,Stone Temple Pilots
mn0000219203,U2
mn0000203303,Charles Wright
mn0000388164,New Birth
mn0000640675,Bud Powell
mn0000120323,Duke Ellington
mn0000259529,Lester Young
mn0000551815,Gil Evans
mn0000345427,Roy Harper
mn0000234325,Loretta Lynn
mn0000175286,Dolly Parton
mn0000073421,The Clean
mn0000452088,Red Norvo
mn0000758915,Ayumi Hamasaki
mn0000367877,Seiko Matsuda
mn0000184811,Erasure
mn0000228058,Lonnie Liston Smith
mn0001407982,Jamie Woon
mn0000409670,Melanie
mn0000574423,High Rise
mn0000695822,The Flower Travellin' Band
mn0000672011,Hawkwind
mn0001890518,Les Rallizes Dénudés
mn0000806829,Jane's Addiction
mn0000745964,The Allman Brothers Band
mn0000355208,Porno for Pyros
mn0000240665,Jeff Buckley
mn0000260212,Pet Shop Boys
mn0000926307,This Mortal Coil
mn0000418519,Mingus Big Band
mn0000744232,T.S. Monk
mn0000680003,Woody Shaw
mn0000180228,Elvis Presley
mn0000628042,"Stock, Aitken & Waterman"
mn0000660507,Giorgio Moroder
mn0000086927,Kelly Clarkson
mn0000472102,Taylor Swift
mn0000769638,Idina Menzel
mn0000186185,Céline Dion
mn0000326038,Peter Lang
mn0000830321,Robbie Basho
mn0000330952,Peter Walker
mn0000814036,Davy Graham
mn0000295213,Sandy Bull
mn0000756656,Bert Jansch
mn0000045077,Leo Kottke
mn0000192925,John Renbourn
mn0000680476,Hole
mn0000418662,The Psychedelic Furs
mn0000019701,Television
mn0000553483,Happy Mondays
mn0000793456,Electronic
mn0000493327,They Might Be Giants
mn0000808336,Ryan Adams
mn0000248452,Johnny Pacheco
mn0000600775,Arsenio Rodríguez
mn0000317093,Nat King Cole
mn0000927555,Aretha Franklin
mn0000411761,Nina Simone
mn0000312540,Martha Reeves
mn0000040225,Gladys Knight
mn0000256349,Peggy Lee
mn0000059819,Betty Wright
mn0000097182,Christy Moore
mn0000359732,Karen Tweed
mn0000745241,Status Quo
mn0000824022,Little Richard
mn0000489303,The Yardbirds
mn0000838524,Savoy Brown
mn0000098189,Kitty Wells
mn0000200882,Gene Pitney
mn0000538677,Buddy Holly
mn0000308742,Julian Cope
mn0000189831,John Taylor
mn0000066570,Keith Jarrett
mn0000837985,Sawyer Brown
mn0000936206,Alabama
mn0000887348,The Oak Ridge Boys
mn0000073906,Gatlin Brothers
